Brand;2019;2018
VOLKSWAGEN;1769482;1764329
SKODA;761761;728443
AUDI;743042;723922
SEAT;507149;452071
PORSCHE;79624;70557
PEUGEOT;964937;971456
OPEL;815683;884799
CITROEN;636843;598279
DS;49795;45439
RENAULT;1063957;1105119
DACIA;581543;528073
LADA;4956;5158
ALPINE;4431;1946
HYUNDAI;563018;542405
KIA;502841;494304
BMW;830862;815388
MINI;217185;218045
MERCEDES;902039;871221
SMART;114616;98966
FORD;96507;979599
FIAT;659622;711145
JEEP;167118;168652
LANCIA/CHRYSLER;58938;48859
ALFA ROMEO;53876;82943
TOYOTA;741342;714035
LEXUS;56055;46793
NISSAN;394091;493876
VOLVO;342579;320784
MAZDA;256562;23451
LAND ROVER;1518;153375
JAGUAR;76826;83819
MITSUBISHI;148248;144103
HONDA;12208;135665
