Year;Sales;Growth
1997;430694;NA
1998;444979;3.32
1999;484164;8.81
2000;497328;2.72
2001;547147;10.02
2002;621802;13.64
2003;623075;0.2
2004;718761;15.36
2005;790095;9.92
2006;794528;0.56
2007;849792;6.96
2008;820518;-3.44
2009;708033;-13.71
2010;752822;6.33
2011;820797;9.03
2012;799777;-2.56
2013;793277;-0.81
2014;829886;4.61
2015;925296;11.5
2016;1026018;10.89
2017;1039878;1.35
2018;1035018;-0.47
2019;1041011;0.58
2020;648107;-0.38
2021;866061,6371;0.34
2022;1025450,582;0.18
2023;1039196,489;0.01
