"","2016","2017","2018","2019","2020"
"January","2.738","3.100","2.881","2.751","4.425"
"February","2.281","2.206","1.835","2.347","2.840"
"March","4.292","4.966","4.015","4.181","2.545"
"April","3.208","2.753","2.326","3.241","1.926"
"May","3.012","3.088","2.722","3.673","2.750"
"June","3.994","3.874","4.862","4.364","2.738"
"July","2.837","2.422","1.926","3.678","2.990"
"August","1.607","1.449","1.789","2.207","3.467"
"September","4.211","2.873","2.401","5.085","4.807"
"October","2.887","2.365","1.292","4.222",NA
"November","2.866","2.699","2.249","4.119",NA
"December","3.164","2.846","2.292","4.897",NA
